Match Number,HTGD,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,FGS-0,FGS-1,Match_O
133,0,0,0,10,23,58,38,0,0,Win
134,1,0,0,16,18,65,51,1,0,Win
135,1,0,0,34,31,83,91,0,1,Draw
136,0,0,0,8,20,47,50,1,0,Draw
137,0,0,0,22,15,42,45,1,0,Draw
138,-1,1,0,17,19,48,0,1,0,Loss
139,0,0,0,18,16,82,43,0,0,Win
140,0,0,0,21,23,82,38,0,0,Draw
141,1,0,0,35,21,83,50,0,1,Win
142,2,0,0,13,20,63,48,0,1,Win
143,-1,0,0,24,23,38,42,1,0,Draw
144,1,0,0,22,24,0,56,0,1,Win
145,-1,0,0,13,9,0,47,1,0,Win
146,-4,0,0,18,22,51,82,1,0,Loss
147,-1,0,0,16,38,45,83,1,0,Loss
148,-2,0,0,23,16,42,43,1,0,Loss
149,1,0,0,17,22,48,67,0,1,Win
150,-1,0,0,24,32,56,91,1,0,Loss
151,2,0,0,22,19,67,65,0,1,Win
152,0,0,0,14,18,55,51,1,0,Loss
153,0,0,0,9,16,47,63,0,0,Win
154,0,0,0,19,16,65,45,0,0,Win
155,0,0,0,19,9,43,0,0,0,Draw
156,0,0,0,21,14,50,55,0,0,Win
157,-2,1,0,16,16,63,58,1,0,Loss
158,0,0,0,25,20,82,48,0,0,Win
159,-1,0,0,16,21,45,51,1,0,Draw
160,2,0,0,25,24,38,50,0,1,Win
161,1,0,0,22,12,65,47,0,1,Win
162,0,0,0,10,25,0,0,0,0,Draw
163,1,0,0,24,14,56,55,0,1,Win
164,-1,0,0,13,25,58,0,0,1,Win
165,2,0,0,41,20,83,43,0,1,Win
166,-1,0,0,26,24,0,50,1,0,Loss
167,-1,0,0,22,42,51,91,1,0,Loss
168,2,0,0,20,17,48,45,0,1,Win
169,1,0,0,24,39,50,91,0,1,Loss
170,-2,0,0,20,25,43,65,1,0,Loss
171,0,0,0,14,44,55,83,0,0,Win
172,-1,0,0,12,28,47,82,1,0,Loss
173,-1,0,0,29,28,67,38,1,0,Draw
174,0,0,0,19,11,58,0,0,0,Win
175,1,0,0,26,16,0,63,0,1,Loss
176,-1,0,0,22,17,51,0,1,0,Loss
177,0,0,0,25,27,42,56,1,0,Loss
178,0,0,0,36,19,91,58,0,0,Win
